time[ms]  latitude[deg]  longitude[deg]  radialdist[km]  bx[nT]  by[nT]  bz[nT]  attitude[]
52765550  -72.176  64.421 6702.223  5236.7 -13319.8 -42896.1    0
65393854  50.126 178.219 6788.176 18388.6  2070.3 35060.6 7067
42962988  -31.707 -100.771 6716.770 21263.4  6383.4 -18406.3    0
 6820994   1.112 -126.145 6769.121 26161.2  4218.0  5030.8 7068
74136319  -48.121  -38.899 6730.598 15022.0  -2672.7 -19155.4 2036
63237334  77.406  -33.353 6785.641  4244.3  -3770.6 45843.3 7068
43765812  14.117  78.232 6786.996 32095.8  -1214.0  7468.8 1022
45939630   5.742 -108.474 6699.137 26727.7  4051.6 11848.9 2036
71012860  25.892 149.647 6701.473 27585.9    -84.8 18537.4 7036
10426354  -10.920  37.434 6683.207 20483.1  -1843.2 -19919.6 7068
61160176  66.553   -8.600 6749.219 10029.4  -2760.3 43032.5 7068
21075504  25.918 171.003 6770.301 24189.2  2909.0 17961.6 7068
14347046  22.928 -160.556 6762.398 22922.8  4664.5 19756.0 7068
84970235  18.090  90.270 6667.801 34388.7   -701.6 13412.7 1022
83511625   3.732  94.551 6671.918 34399.0   -920.9  -7855.5 2036

